"ID";"Inkomensbegrippen";"Inkomensklassen";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"PersonenPerHuishouden_2";"PersonenMetInkomenPerHuishouden_3";"GemiddeldInkomen_4";"MediaanInkomen_5"
"7";"A043964";"T001226";"1050010";"2018JJ00";"7760.6";"2.2";"1.7";"53.8";"37.8"
"8";"A043964";"T001226";"1050010";"2019JJ00";"7827.4";"2.2";"1.8";"58.2";"40"
"9";"A043964";"T001226";"1050010";"2020JJ00";"7894.5";"2.2";"1.7";"58.3";"40.8"
"10";"A043964";"T001226";"1050010";"2021JJ00";"7951.4";"2.2";"1.8";"60.8";"42.3"
"11";"A043964";"T001226";"1050010";"2022JJ00";"8041.4";"2.1";"1.8";"65.7";"46.1"
"12";"A043964";"T001226";"1050010";"2023JJ00";"8163.1";"2.1";"1.8";"73.8";"48.8"
"13";"A043964";"T001226";"1050010";"2024JJ00";"8258.9";"2.1";"1.8";"76.8";"51.3"
"21";"A043964";"T001226";"1050015";"2018JJ00";"2910.1";"1";"1";"23.4";"7.9"
"22";"A043964";"T001226";"1050015";"2019JJ00";"2949.8";"1";"1";"25.1";"8.5"
"23";"A043964";"T001226";"1050015";"2020JJ00";"2985.9";"1";"1";"25.4";"8.4"
"24";"A043964";"T001226";"1050015";"2021JJ00";"3014";"1";"1";"26.5";"8.8"
"25";"A043964";"T001226";"1050015";"2022JJ00";"3085";"1";"1";"28.7";"9.9"
"26";"A043964";"T001226";"1050015";"2023JJ00";"3169";"1";"1";"32";"11.1"
"27";"A043964";"T001226";"1050015";"2024JJ00";"3236.2";"1";"1";"33.1";"11.8"
"35";"A043964";"T001226";"A043011";"2018JJ00";"1955";"1";"1";"32.7";"26.8"
"36";"A043964";"T001226";"A043011";"2019JJ00";"1981";"1";"1";"34.9";"28.8"
"37";"A043964";"T001226";"A043011";"2020JJ00";"2010.6";"1";"1";"35.5";"29.5"
"38";"A043964";"T001226";"A043011";"2021JJ00";"2016.4";"1";"1";"37.2";"31"
"39";"A043964";"T001226";"A043011";"2022JJ00";"2063.2";"1";"1";"40.4";"34.5"
"40";"A043964";"T001226";"A043011";"2023JJ00";"2135.8";"1";"1";"44";"36.4"
"41";"A043964";"T001226";"A043011";"2024JJ00";"2195.8";"1";"1";"45.4";"38.1"
"49";"A043964";"T001226";"A043012";"2018JJ00";"955.1";"1";"1";"4.4";"0"
"50";"A043964";"T001226";"A043012";"2019JJ00";"968.8";"1";"1";"5.1";"0"
"51";"A043964";"T001226";"A043012";"2020JJ00";"975.3";"1";"1";"4.6";"0"
"52";"A043964";"T001226";"A043012";"2021JJ00";"997.6";"1";"1";"4.8";"0"
"53";"A043964";"T001226";"A043012";"2022JJ00";"1021.7";"1";"1";"5.2";"0"
"54";"A043964";"T001226";"A043012";"2023JJ00";"1033.2";"1";"1";"7.1";"0.4"
"55";"A043964";"T001226";"A043012";"2024JJ00";"1040.4";"1";"1";"7.3";"0.9"
"63";"A043964";"T001226";"1016010";"2018JJ00";"4850.5";"2.9";"2.2";"72.1";"63.7"
"64";"A043964";"T001226";"1016010";"2019JJ00";"4877.5";"2.9";"2.2";"78.1";"67.4"
"65";"A043964";"T001226";"1016010";"2020JJ00";"4908.6";"2.9";"2.2";"78.4";"69.1"
"66";"A043964";"T001226";"1016010";"2021JJ00";"4937.4";"2.9";"2.2";"81.7";"72"
"67";"A043964";"T001226";"1016010";"2022JJ00";"4956.4";"2.8";"2.2";"88.7";"78.4"
"68";"A043964";"T001226";"1016010";"2023JJ00";"4994.1";"2.8";"2.2";"100.4";"84"
"69";"A043964";"T001226";"1016010";"2024JJ00";"5022.8";"2.8";"2.2";"104.9";"89"
"77";"A043964";"T001226";"1050190";"2018JJ00";"544.8";"2.5";"1.8";"39.5";"31.3"
"78";"A043964";"T001226";"1050190";"2019JJ00";"554.8";"2.5";"1.8";"42.9";"33.7"
"79";"A043964";"T001226";"1050190";"2020JJ00";"562";"2.5";"1.8";"44.2";"35.1"
"80";"A043964";"T001226";"1050190";"2021JJ00";"566.3";"2.5";"1.8";"46.5";"37.2"
"81";"A043964";"T001226";"1050190";"2022JJ00";"569.3";"2.5";"1.8";"51.4";"41.9"
"82";"A043964";"T001226";"1050190";"2023JJ00";"582.4";"2.5";"1.8";"57.3";"45.2"
"83";"A043964";"T001226";"1050190";"2024JJ00";"588.9";"2.5";"1.8";"61";"48.6"
"91";"A043964";"T001226";"1050195";"2018JJ00";"292.2";"2.5";"1.3";"30.2";"22.8"
"92";"A043964";"T001226";"1050195";"2019JJ00";"292.8";"2.5";"1.3";"32.6";"24.7"
