"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"80";"1050010";"1050010";"PV20  ";"2021JJ00";"   289.9";"     100";"    28.9";"    26.3";"    40.3";"    33.1";"      17";"      12";"      11";"      11";"      10";"       9";"       9";"       8";"       7";"       6"
"81";"1050010";"1050010";"PV20  ";"2022JJ00";"   292.4";"     100";"    30.3";"    27.7";"    42.1";"    34.7";"      17";"      12";"      11";"      11";"      10";"      10";"       9";"       8";"       7";"       6"
"82";"1050010";"1050010";"PV20  ";"2023JJ00";"   294.8";"     100";"    33.3";"    30.1";"    46.2";"    37.5";"      16";"      12";"      11";"      11";"      10";"      10";"       9";"       8";"       7";"       6"
"83";"1050010";"1050010";"PV20  ";"2024JJ00";"   300.2";"     100";"    34.9";"    32.1";"    48.4";"    39.6";"      17";"      12";"      11";"      11";"      10";"      10";"       9";"       8";"       7";"       6"
"94";"1050010";"1050010";"PV21  ";"2021JJ00";"   294.2";"     100";"    30.8";"    28.3";"    44.3";"    37.6";"      10";"      11";"      11";"      12";"      11";"      11";"      10";"       9";"       8";"       6"
"95";"1050010";"1050010";"PV21  ";"2022JJ00";"   297.0";"     100";"    32.6";"    29.8";"    46.9";"    39.4";"      10";"      11";"      11";"      12";"      11";"      11";"      10";"       9";"       8";"       6"
"96";"1050010";"1050010";"PV21  ";"2023JJ00";"   300.0";"     100";"    35.8";"    32.2";"    51.5";"    42.3";"      10";"      11";"      12";"      12";"      11";"      11";"      10";"       9";"       8";"       6"
"97";"1050010";"1050010";"PV21  ";"2024JJ00";"   303.1";"     100";"    37.8";"    34.5";"    54.3";"    45.0";"      10";"      11";"      12";"      12";"      11";"      11";"      10";"       9";"       8";"       6"
"108";"1050010";"1050010";"PV22  ";"2021JJ00";"   219.7";"     100";"    32.3";"    29.6";"    46.9";"    40.1";"       8";"      10";"      11";"      11";"      12";"      11";"      11";"      10";"       9";"       7"
"109";"1050010";"1050010";"PV22  ";"2022JJ00";"   221.4";"     100";"    34.1";"    31.2";"    49.4";"    42.1";"       7";"      10";"      11";"      12";"      11";"      12";"      11";"      10";"       9";"       7"
"110";"1050010";"1050010";"PV22  ";"2023JJ00";"   223.9";"     100";"    37.5";"    33.7";"    54.4";"    45.3";"       7";"      10";"      11";"      11";"      11";"      12";"      11";"      10";"       9";"       7"
"111";"1050010";"1050010";"PV22  ";"2024JJ00";"   225.7";"     100";"    39.7";"    36.2";"    57.5";"    48.4";"       7";"      10";"      11";"      11";"      11";"      11";"      11";"      10";"       9";"       7"
"122";"1050010";"1050010";"PV23  ";"2021JJ00";"   508.0";"     100";"    32.1";"    29.4";"    47.3";"    40.0";"       9";"      10";"      10";"      11";"      11";"      11";"      11";"      10";"       9";"       7"
